node	biosample	run	platform	base_count	read_len	raw_depth_x
CP150983.1	SAMN40622784	SRR28467020	ILLUMINA	13542931790	302	3070
CP046728.2	SAMN10417149	SRR8186768	ILLUMINA	3551037184	202	805
CP025600.1	SAMN08199276	SRR6389897	ILLUMINA	3047219490	202	691
NZ_CP025593.1	SAMN08199254	SRR6389902	ILLUMINA	3023809508	202	685
CP025603.1	SAMN08199271	SRR6389896	ILLUMINA	3018587404	178	684
CP015773.2	SAMN03288261	SRR6705904	ILLUMINA	2858321177	192	648
CP025598.1	SAMN08199347	SRR6389906	ILLUMINA	2812027658	202	637
CP025597.1	SAMN08199267	SRR6389898	ILLUMINA	2744813572	202	622
NZ_CP010335.1	SAMN03257092	SRR2667444	ILLUMINA	2740759230	202	621
CP010335.1	SAMN03257092	SRR2667444	ILLUMINA	2740759230	202	621
NZ_CP025608.1	SAMN08199266	SRR6389901	ILLUMINA	2663369192	202	604
CP025608.1	SAMN08199266	SRR6389901	ILLUMINA	2663369192	202	604
CP025606.1	SAMN08199348	SRR6389907	ILLUMINA	2648244644	202	600
CP025605.1	SAMN08199277	SRR6389904	ILLUMINA	2646020220	202	600
NZ_CP025605.1	SAMN08199277	SRR6389904	ILLUMINA	2646020220	202	600
CP025595.1	SAMN08199302	SRR6389910	ILLUMINA	2625632360	202	595
CP025594.1	SAMN08199260	SRR6389903	ILLUMINA	2562663708	202	581
NZ_CP025594.1	SAMN08199260	SRR6389903	ILLUMINA	2562663708	202	581
CP025604.1	SAMN08199301	SRR6389905	ILLUMINA	2513474890	202	570
CP054013.1	SAMN11056472	SRR9626912	ILLUMINA	2378121046	302	539
CP018778.1	SAMN06141171	SRR5110822	ILLUMINA	2358880800	600	535
NZ_CP046309.1	SAMN11056465	SRR9176616	ILLUMINA	1839844098	302	417
CP046309.1	SAMN11056465	SRR9176616	ILLUMINA	1839844098	302	417
CP089780.1	SAMN24042982	SRR17234902	ILLUMINA	1776651750	250	403
NZ_CP010339.1	SAMN03257096	SRR2667438	ILLUMINA	1426456250	250	323
NZ_CP089773.1	SAMN24039564	SRR17234906	ILLUMINA	1316359500	250	298
CP089773.1	SAMN24039564	SRR17234906	ILLUMINA	1316359500	250	298
CP095023.1	SAMN27028221	SRR18511601	ILLUMINA	1279161000	300	290
NZ_CP095023.1	SAMN27028221	SRR18511601	ILLUMINA	1279161000	300	290
NZ_CP010338.1	SAMN03257095	SRR3647362	ILLUMINA	1137432500	250	258
NZ_CP010330.1	SAMN03253058	SRR3647352	ILLUMINA	1094855750	250	248
CP010330.1	SAMN03253058	SRR3647352	ILLUMINA	1094855750	250	248
NZ_CP054014.1	SAMN11056471	SRR9625175	ILLUMINA	1078173220	302	244
CP054014.1	SAMN11056471	SRR9625175	ILLUMINA	1078173220	302	244
NZ_CP089781.1	SAMN24042990	SRR17234904	ILLUMINA	1065421800	300	242
NZ_CP089775.1	SAMN24039640	SRR17234882	ILLUMINA	944879400	300	214
NZ_CP027035.1	SAMN08321034	SRR6467889	ILLUMINA	907126000	200	206
AP024457.1	SAMD00269949	DRR261070	ILLUMINA	766555019	596	174
