node	species
CP025605.1	M. tuberculosis
NZ_CP023637.1	M. tuberculosis
CP023619.1	M. tuberculosis
CP023605.1	M. tuberculosis
NZ_CP041845.1	M. tuberculosis
NZ_CP023581.1	M. tuberculosis
CP023608.1	M. tuberculosis
NZ_CP041864.1	M. tuberculosis
CP041829.1	M. tuberculosis
AP017901.1	M. tuberculosis
NZ_CP023625.1	M. tuberculosis
CP089610.1	M. tuberculosis
CP025598.1	M. tuberculosis
NZ_CP023632.1	M. tuberculosis
CP023636.1	M. tuberculosis
NZ_CP010330.1	M. tuberculosis
NZ_CP023597.1	M. tuberculosis
CP023632.1	M. tuberculosis
CP023606.1	M. tuberculosis
CP025595.1	M. tuberculosis
CP023615.1	M. tuberculosis
CP023575.1	M. tuberculosis
CP005387.1	M. tuberculosis
NZ_CP041804.1	M. tuberculosis
NZ_CP023579.1	M. tuberculosis
CP023628.1	M. tuberculosis
CP023591.1	M. tuberculosis
CP023609.1	M. tuberculosis
CP010330.1	M. tuberculosis
CP023602.1	M. tuberculosis
CP023583.1	M. tuberculosis
CP023579.1	M. tuberculosis
NZ_CP023586.1	M. tuberculosis
CP025597.1	M. tuberculosis
NZ_CP025593.1	M. tuberculosis
NC_021054.1	M. tuberculosis
OW052571.1	M. tuberculosis
CP023594.1	M. tuberculosis
CP130782.1	M. tuberculosis
NC_021193.1	M. canettii
CP025603.1	M. tuberculosis
CP089927.1	M. tuberculosis
NZ_CP023600.1	M. tuberculosis
NZ_CP023583.1	M. tuberculosis
NZ_CP149781.1	M. tuberculosis
NZ_CP023628.1	M. tuberculosis
CP041845.1	M. tuberculosis
CP023576.1	M. tuberculosis
CP054013.1	M. tuberculosis
CP023640.1	M. tuberculosis
CP023589.1	M. tuberculosis
CP023607.1	M. tuberculosis
NZ_CP023587.1	M. tuberculosis
NZ_CP025608.1	M. tuberculosis
NZ_CP023633.1	M. tuberculosis
NZ_CP023630.1	M. tuberculosis
CP023613.1	M. tuberculosis
NZ_LR027516.1	M. tuberculosis
NZ_CP023610.1	M. tuberculosis
CP023625.1	M. tuberculosis
CP043995.1	M. tuberculosis
NZ_CP023606.1	M. tuberculosis
CP025608.1	M. tuberculosis
CP025594.1	M. tuberculosis
NZ_CP041812.1	M. tuberculosis
NC_009565.1	M. tuberculosis
NZ_CP089781.1	M. tuberculosis
NZ_CP023599.1	M. tuberculosis
CP018301.1	M. tuberculosis
NZ_CP071127.1	M. tuberculosis
CP041823.1	M. tuberculosis
NZ_CP017920.1	M. tuberculosis
NC_018078.1	M. tuberculosis
CP069071.1	M. tuberculosis
CP130804.1	M. tuberculosis
CP017920.1	M. tuberculosis
CP130787.1	M. tuberculosis
CP041207.1	M. tuberculosis
CP041836.1	M. tuberculosis
NZ_CP041796.1	M. tuberculosis
CP023611.1	M. tuberculosis
CP125620.1	M. tuberculosis
NZ_CP133041.1	M. tuberculosis
CP041811.1	M. tuberculosis
CP130811.1	M. tuberculosis
CP041822.1	M. tuberculosis
NZ_CP041821.1	M. tuberculosis
CP130813.1	M. tuberculosis
CP041791.1	M. tuberculosis
CP130810.1	M. tuberculosis
LR882496.1	M. tuberculosis
CP022014.1	M. tuberculosis
CP130771.1	M. tuberculosis
OZ023118.1	M. tuberculosis
CP041796.1	M. tuberculosis
NZ_CP002882.1	M. tuberculosis
NZ_CP041839.1	M. tuberculosis
CP023574.1	M. tuberculosis
NZ_CP069069.1	M. tuberculosis
NZ_CP017596.1	M. tuberculosis
CP041851.1	M. tuberculosis
NZ_CP023580.1	M. tuberculosis
NZ_CP010338.1	M. tuberculosis
NZ_AP024459.1	M. tuberculosis
NC_016804.1	M. bovis / animal
CP069077.1	M. tuberculosis
NZ_CP041872.1	M. tuberculosis
NZ_CP041869.1	M. tuberculosis
NZ_CP023589.1	M. tuberculosis
CP043996.1	M. tuberculosis
CP130808.1	M. tuberculosis
OW052570.1	M. tuberculosis
OZ023123.1	M. tuberculosis
AP012340.1	M. tuberculosis
CP009243.1	M. bovis / animal
CP041826.1	M. tuberculosis
NZ_CP069077.1	M. tuberculosis
CP015773.2	M. bovis / animal
CP000717.1	M. tuberculosis
CP041801.1	M. tuberculosis
CP022577.1	M. tuberculosis
CP023638.1	M. tuberculosis
CP013741.1	M. bovis / animal
NZ_CP096845.1	M. bovis / animal
NZ_CP096839.1	M. bovis / animal
NZ_CP023604.1	M. tuberculosis
NZ_CP023592.1	M. tuberculosis
NZ_CP041809.1	M. tuberculosis
CP133044.1	M. tuberculosis
CP097109.1	M. tuberculosis
CP072763.1	M. tuberculosis
CP009426.1	M. tuberculosis
CP023626.1	M. tuberculosis
NC_020559.1	M. tuberculosis
CP069067.1	M. tuberculosis
NZ_CP023611.1	M. tuberculosis
NZ_CP089776.1	M. tuberculosis
CP130816.1	M. tuberculosis
CP018305.1	M. tuberculosis
AP024459.1	M. tuberculosis
CP041841.1	M. tuberculosis
CP041839.1	M. tuberculosis
CP041799.1	M. tuberculosis
NZ_CP117298.1	M. bovis / animal
CP041793.1	M. tuberculosis
NZ_CP041806.1	M. tuberculosis
NZ_OW052188.1	M. tuberculosis
CP001664.1	M. tuberculosis
HE663067.1	M. tuberculosis
NZ_CP018304.1	M. tuberculosis
CP130758.1	M. tuberculosis
CP001662.1	M. tuberculosis
NZ_CP018305.1	M. tuberculosis
CP130783.1	M. tuberculosis
NZ_CP097112.1	M. tuberculosis
CP044345.1	M. tuberculosis
NZ_OZ023112.1	M. tuberculosis
CP002883.1	M. tuberculosis
NZ_CP054014.1	M. tuberculosis
CP069068.1	M. tuberculosis
AP018033.1	M. tuberculosis
CP130772.1	M. tuberculosis
CP089780.1	M. tuberculosis
CP069072.1	M. tuberculosis
NZ_CP096840.1	M. bovis / animal
NZ_CP130811.1	M. tuberculosis
NZ_CP009100.1	M. tuberculosis
NZ_CP041871.1	M. tuberculosis
CP041788.1	M. tuberculosis
NZ_OZ023113.1	M. tuberculosis
NZ_CP022704.1	M. tuberculosis
CP041820.1	M. tuberculosis
CP025600.1	M. tuberculosis
CP096848.1	M. bovis / animal
CP054014.1	M. tuberculosis
CP089772.1	M. tuberculosis
NZ_CP069067.1	M. tuberculosis
CP096842.1	M. bovis / animal
NZ_CP048071.1	M. tuberculosis
OZ023114.1	M. tuberculosis
NZ_CP041791.1	M. tuberculosis
NZ_CP041830.1	M. tuberculosis
