node_id	duplicate_group
USA/KS-CDC-LC0912861/2022|OP868079.1|2022-10-09	0
USA/KS-CDC-LC0912861/2022|OP707502.1|2022-10-09	0
Denmark/DCGC-145473/2021|OW335460.1|2021-08-02	1
Denmark/DCGC-157417/2021|OW365021.1|2021-08-17	1
USA/IL-CDC-QDX46230220/2023|OQ444899.1|2023-01-30	2
USA/IL-CDC-QDX46276332/2023|OQ444999.1|2023-01-31	2
NZL/21MV1467/2021|OK426580.1|2021-09-06	3
NZL/21MV1467/2021|ON671496.1|2021-09-06	3
Scotland/QEUH-38D46D5/2022|OW158992.1|2022-03-02	4
Scotland/QEUH-39D47C2/2022|OW213933.1|2022-03-09	4
Scotland/QEUH-37FFB4F/2022|OW085452.1|2022-02-21	4
England/QEUH-2EA08688/2022|2022-03-28	4
CHN/HFCDC-2023-437/2023|C_AA019669.1|2023-05	5
CHN/HFCDC-2023-373/2023|C_AA019606.1|2023-05	5
CHN/HFCDC-2023-425/2023|C_AA019657.1|2023-05	5
CHN/GDCDC_SZ_0651/2023|C_AA017254.1|2023-05-05	5
CHN/HFCDC-2023-372/2023|C_AA019605.1|2023-05	5
CHN/HFCDC-2023-386/2023|C_AA019619.1|2023-05	5
CHN/HFCDC-2023-383/2023|C_AA019616.1|2023-05	5
CHN/HFCDC-2023-369/2023|C_AA019602.1|2023-05	5
CHN/HFCDC-2023-454/2023|C_AA019686.1|2023-05	5
CHN/AQCDC-082/2023|C_AA026511.1|2023-06-01	5
USA/VSP0765/2021|MZ578605.1|2021-02-01	6
USA/VSP0760/2021|MZ578603.1|2021-02-01	6
Scotland/LSPA-3F0A3F6/2022|OX260733.1|2022-07-25	7
England/LSPA-325840D9/2022|OX353040.1|2022-09-28	7
England/MILK-A69EC5/2020|OB984641.1|2020-10-12	8
England/MILK-A7CADA/2020|OB982204.1|2020-10-15	8
England/QEUH-32654EB9/2022|2022-12-18	9
England/LSPA-3268259F/2023|OX407664.1|2023-01-04	9
England/ALDP-A50429/2020|OA995499.1|2020-10-07	10
England/ALDP-9EB06C/2020|OA989798.1|2020-09-24	10
England/MILK-3BF0694/2022|OW379818.1|2022-03-23	11
England/LSPA-39EDCE5/2022|OW201045.1|2022-03-09	11
England/LSPA-3B5FDCB/2022|OW345780.1|2022-03-19	11
England/QEUH-9694A6/2020|OA968458.1|2020-08-12	12
England/QEUH-998E28/2020|2020-08-26	12
England/MILK-99D746/2020|OA972344.1|2020-08-31	12
England/QEUH-96EDA6/2020|OA967746.1|2020-08-19	12
England/ALDP-6FC72A/2020|OA979204.1|2020-06-30	13
England/ALDP-65859B/2020|OA980052.1|2020-07-03	13
CHN/HFCDC-2023-327/2023|C_AA019562.1|2023-04	14
CHN/HFCDC-2023-329/2023|C_AA019564.1|2023-04	14
USA/CA-CDC-STM-GGAWWKVNE/2022|OQ220229.1|2022-12-26	15
USA/CA-CDC-STM-6WQ23GEPC/2022|OQ238194.1|2022-12-29	15
Denmark/DCGC-155691/2021|OW324450.1|2021-08-14	16
Denmark/DCGC-154979/2021|OW326710.1|2021-08-09	16
England/MILK-9F2B07/2020|OA993525.1|2020-09-25	17
England/MILK-A1829C/2020|OX468334.1|2020-10-01	17
England/LSPA-3B04E4A/2022|OW290449.1|2022-03-15	18
England/LSPA-3A46F68/2022|OW244764.1|2022-03-11	18
England/LSPA-39132D5/2022|OW176871.1|2022-03-03	18
England/LSPA-32624061/2022|OX397555.1|2022-12-12	19
Scotland/QEUH-326F0480/2023|OX452911.1|2023-02-26	19
England/QEUH-326BE1B4/2023|OX426827.1|2023-01-31	19
USA/CA-CDC-QDX45592919/2023|OQ356729.1|2023-01-13	20
USA/CA-CDC-QDX43330646/2022|OP864850.1|2022-11-06	20
Scotland/QEUH-9F84AC/2020|OA999004.1|2020-09-27	21
England/ALDP-A6CD3E/2020|OB984102.1|2020-10-14	21
IND/GBRC549/2021|MZ292134.1|2021-01-02	22
IND/GBRC548/2021|MZ292133.1|2021-01-02	22
England/BRBR-32706635/2023|OX458021.1|2023-03-13	23
England/BRBR-3270969C/2023|OX458387.1|2023-03-14	23
England/MILK-ABB84E/2020|OB988694.1|2020-10-21	24
Scotland/QEUH-9CF8B1/2020|OA999852.1|2020-09-17	24
England/BRBR-326929AF/2023|OX415457.1|2023-01-09	25
England/BRBR-3269E545/2023|OX418237.1|2023-01-13	25
England/ALDP-94E717/2020|OA977204.1|2020-06-18	26
England/ALDP-8E5397/2020|OA978460.1|2020-06-25	26
England/ALDP-90C7AC/2020|2020-06-22	26
England/ALDP-925FC3/2020|2020-06-23	26
USA/SC-CDC-QDX36963843/2022|ON690676.1|2022-05-13	27
USA/TX-CDC-QDX36806813/2022|ON634203.1|2022-05-09	27
USA/NM-CDC-QDX37661764/2022|ON828641.1|2022-06-02	27
England/CLIMB-CM7Y8JOF/2023|2023-12-13	28
OY988928.1|2023-12-13	28
USA/UW20121655671/2020|OQ690820.1|2020-12-16	29
USA/UW20122271349/2020|OQ690337.1|2020-12-22	29
Denmark/DCGC-582739/2022|OY774850.1|2022-09-18	30
Denmark/DCGC-577236/2022|OY767375.1|2022-09-06	30
England/MILK-9D3EF4/2020|OA999712.1|2020-09-18	31
England/CAMC-9493FA/2020|OA978861.1|2020-07-27	31
England/CAMC-94286B/2020|OA978749.1|2020-07-22	31
Scotland/CVR3162/2020|OY620460.1|2020-04-22	32
Scotland/CVR1622/2020|OY340329.2|2020-04-04	32
Scotland/GCVR-16FB76/2020|OA966225.1|2020-03-19	32
Scotland/CVR1644/2020|OY337957.2|2020-04-06	32
England/ALDP-35DD086/2022|OV962695.1|2022-02-06	33
England/ALDP-341F1E0/2022|OV824454.1|2022-01-24	33
England/MILK-36D658D/2022|OW045721.1|2022-02-12	33
Denmark/DCGC-145272/2021|OW334305.1|2021-08-03	34
Denmark/DCGC-146669/2021|OW332883.1|2021-08-05	34
Denmark/DCGC-146655/2021|OW334944.1|2021-08-05	34
Denmark/DCGC-152192/2021|OW337414.1|2021-08-12	34
USA/G_R556_082520/2020|OP724452.1|2020-08-25	35
USA/G_R508_082520/2020|OP724418.1|2020-08-25	35
USA/CA-CDC-STM-CYRMVHMGK/2023|OQ254438.1|2023-01-03	36
USA/CA-CDC-STM-YH8QAFDSE/2022|OQ196274.1|2022-12-22	36
England/QEUH-C163B7/2020|OD904975.1|2020-12-05	37
England/MILK-A6BDE4/2020|OB984977.1|2020-10-09	37
England/ALDP-A93B61/2020|OB986437.1|2020-10-19	37
England/LSPA-32627E19/2022|OX395372.1|2022-12-15	38
England/LSPA-32625B8D/2022|OX397868.1|2022-12-15	38
Iceland/6723/2020|OU169264.1|2020-10-23	39
Iceland/3417/2020|OU163976.1|2020-10-29	39
Iceland/5223/2020|OU166938.1|2020-10-12	39
USA/MI-CDC-QDX43991569/2022|OP995904.1|2022-11-22	40
USA/LA-CDC-QDX45182051/2022|OQ265886.1|2022-12-29	40
Northern_Ireland/NIRE-106B44/2020|2020-05-19	41
Northern_Ireland/NIRE-106CD8/2020|2020-05-19	41
NOTT-10E46F|OX676354.1|?	42
NOTT-10E0E3|OX678085.1|?	42
England/MILK-3A5FD44/2022|OW245047.1|2022-03-13	43
England/MILK-3AA724E/2022|OW262644.1|2022-03-14	43
Iceland/6445/2020|OU168831.1|2020-10-27	44
Iceland/3476/2020|OU164107.1|2020-10-17	44
Iceland/6813/2020|OU169413.1|2020-10-13	44
USA/MA-Broad-CRSP_F5QH34UEWP7ENGZE/2022|ON199690.1|2022-03-30	45
USA/MA-Broad-CRSP_WS6OKMKQYLXT242H/2022|ON066451.1|2022-03-14	45
USA/MP-CDC-2-5800625/2022|ON260097.1|2022-01-22	46
