node_id	duplicate_group
CP010335.1	0
NZ_CP010335.1	0
NZ_CP041793.1	1
CP041793.1	1
CP041865.1	2
NZ_CP041865.1	2
NZ_CP096842.1	3
CP096842.1	3
NZ_CP130774.1	4
CP130774.1	4
NZ_CP041788.1	5
CP041788.1	5
CP007803.1	6
NZ_CP007803.1	6
NZ_CP023583.1	7
CP023583.1	7
CP130811.1	8
NZ_CP130811.1	8
NZ_CP041838.1	9
CP041838.1	9
CP022578.1	10
NZ_CP022578.1	10
CP002884.1	11
NC_021251.1	11
NZ_CP039850.1	12
CP039850.1	12
NZ_CP041789.1	13
CP041789.1	13
CP096840.1	14
NZ_CP096840.1	14
NZ_CP041821.1	15
CP041821.1	15
CP023606.1	16
NZ_CP023606.1	16
CP023621.1	17
NZ_CP023621.1	17
NZ_CP019610.1	18
CP019610.1	18
CP041826.1	19
NZ_CP041826.1	19
OZ023118.1	20
NZ_OZ023118.1	20
CP000717.1	21
NC_009565.1	21
CP041863.1	22
NZ_CP041863.1	22
CP041873.1	23
NZ_CP041873.1	23
NZ_CP041850.1	24
CP041850.1	24
CP041818.1	25
NZ_CP041818.1	25
NZ_CP041833.1	26
CP041833.1	26
NZ_CP041849.1	27
CP041849.1	27
NZ_OZ023109.1	28
OZ023109.1	28
AP024459.1	29
NZ_AP024459.1	29
CP041840.1	30
NZ_CP041840.1	30
CP096848.1	31
NZ_CP096848.1	31
NZ_CP041791.1	32
CP041791.1	32
LR882498.1	33
NZ_LR882498.1	33
CP023600.1	34
NZ_CP023600.1	34
NZ_CP041824.1	35
CP041824.1	35
CP154612.1	36
NZ_CP154612.1	36
CP041796.1	37
NZ_CP041796.1	37
NZ_CP095023.1	38
CP095023.1	38
CP041799.1	39
NZ_CP041799.1	39
CP023581.1	40
NZ_CP023581.1	40
NZ_CP097109.1	41
CP097109.1	41
NZ_CP023591.1	42
CP023591.1	42
NZ_CP023632.1	43
CP023632.1	43
NZ_CP009426.1	44
CP009426.1	44
NZ_CP023613.1	45
CP023613.1	45
NZ_CP115447.1	46
CP115447.1	46
NZ_CP041835.1	47
CP041835.1	47
NZ_CP023579.1	48
CP023579.1	48
CP096841.1	49
NZ_CP096841.1	49
CP017598.1	50
NZ_CP017598.1	50
NZ_CP069072.1	51
CP069072.1	51
NC_020559.1	52
AP012340.1	52
AP024458.1	53
NZ_AP024458.1	53
NZ_CP117298.1	54
CP117298.1	54
NZ_CP089773.1	55
CP089773.1	55
CP133041.1	56
NZ_CP133041.1	56
NZ_CP025608.1	57
CP025608.1	57
CP012506.2	58
NZ_CP012506.2	58
CP023589.1	59
NZ_CP023589.1	59
NZ_OW052570.1	60
OW052570.1	60
CP023625.1	61
NZ_CP023625.1	61
CP023611.1	62
NZ_CP023611.1	62
NZ_CP069067.1	63
CP069067.1	63
NZ_CP046309.1	64
CP046309.1	64
CP072763.1	65
NZ_CP072763.1	65
CP041845.1	66
NZ_CP041845.1	66
NZ_CP010330.1	67
CP010330.1	67
CP041839.1	68
NZ_CP041839.1	68
NZ_CP022704.1	69
CP022704.2	69
NZ_CP069077.1	70
CP069077.1	70
CP017920.1	71
NZ_CP017920.1	71
CP043997.1	72
NZ_CP043997.1	72
CP096839.1	73
NZ_CP096839.1	73
CP133045.1	74
NZ_CP133045.1	74
NZ_OZ023122.1	75
OZ023122.1	75
NZ_OZ023112.1	75
NZ_CP002882.1	76
CP002882.1	76
NZ_CP071127.1	77
CP071127.1	77
CP025594.1	78
NZ_CP025594.1	78
NZ_CP025605.1	79
CP025605.1	79
CP023628.1	80
NZ_CP023628.1	80
CP069071.1	81
NZ_CP069071.1	81
CP043995.1	82
NZ_CP043995.1	82
NZ_CP041836.1	83
CP041836.1	83
CP017596.1	84
NZ_CP017596.1	84
NZ_OZ023123.1	85
OZ023123.1	85
CP041811.1	86
NZ_CP041811.1	86
CP054014.1	87
NZ_CP054014.1	87
CP041869.1	88
NZ_CP041869.1	88
CP048071.1	89
NZ_CP048071.1	89
NZ_CP044345.1	90
CP044345.1	90
CP133044.1	91
NZ_CP133044.1	91
AM412059.2	92
NZ_AM412059.1	92
CP018305.1	93
NZ_CP018305.1	93
